Male,Median,Mean
25-34,,
All,34113,43066
White,35468,44071
Black,26223,31220
Asian,46150,55714
Hispanic,26096,32981
35-44,,
All,45224,60742
White,46296,62178
Black,34035,41196
Asian,62275,79565
Hispanic,29340,40306
45-54,,
All,46466,64396
White,49041,67292
Black,31213,41925
Asian,50229,72971
Hispanic,31299,42263
55-64,,
All,42176,61410
White,45050,64285
Black,29162,41747
Asian,37665,56234
Hispanic,27768,37643
65-74,,
All,31762,49723
White,33407,51686
Black,22512,33322
Asian,25187,46752
Hispanic,18636,28837
75--,,
All,23570,35805
White,24335,37002
Black,18277,27036
Asian,15421,26241
Hispanic,16042,25520
Female,Median,Mean
25-34,,
All,26173,31554
White,26786,31889
Black,21856,25892
Asian,35292,43761
Hispanic,20312,24741
35-44,,
All,30061,38967
White,30105,38669
Black,28834,35818
Asian,33068,49997
Hispanic,21351,28613
45-54,,
All,29784,39210
White,30589,40615
Black,25168,32005
Asian,31267,42035
Hispanic,21550,29405
55-64,,
All,26684,38198
White,27974,39588
Black,21333,30662
Asian,24106,36810
Hispanic,18549,27104
65-74,,
All,17236,26782
White,17560,27048
Black,16240,25832
Asian,14935,24781
Hispanic,11077,18272
75--,,
All,14916,19806
White,15322,20257
Black,12211,16405
Asian,11624,17657
Hispanic,11012,14027
